线号,行别,公里区间,样本量,max_acc均值,max_accP95,max_accP99,三级及以上占比,车速均值,覆盖天数,z_max_acc均值,z_max_accP95,z_三级及以上占比,原始风险分,样本权重,风险分,质量风险指数,质量等级
1001,单线,1000,308,0.07383116883116883,0.1,0.10930000000000006,0.0,92.44805194805195,42,1.1191632312180029,0.0,-0.2622374100572925,0.15827329372927745,1.0,0.15827329372927745,63.8,D(差)
1001,单线,1001,172,0.07087209302325581,0.09,0.11289999999999992,0.0,88.72674418604652,37,0.3819699134216999,-1.0,-0.2622374100572925,-0.5391653698299832,0.9913544668587896,-0.5345039977565251,16.46,A(优)
1001,单线,1002,180,0.06755555555555556,0.09,0.09210000000000008,0.0,87.31111111111112,30,-0.4442776780971051,-1.0,-0.2622374100572925,-0.7044148881337442,1.0,-0.7044148881337442,11.39,A(优)
1001,单线,1003,132,0.06537878787878788,0.09,0.09689999999999999,0.0,84.25,30,-0.9865748985390105,-1.0,-0.2622374100572925,-0.8128743322221252,0.760806916426513,-0.618440414140176,14.68,A(优)
1001,单线,1004,94,0.06723404255319149,0.09,0.09,0.0,79.53191489361703,22,-0.5243760778385392,-1.0,-0.2622374100572925,-0.720434568082031,0.5417867435158501,-0.39032189855741156,23.04,B(良)
1001,单线,1005,99,0.06454545454545454,0.08,0.09,0.0,78.17171717171718,27,-1.1941828831629429,-1.9999999999999987,-0.2622374100572925,-1.4043959291469112,0.5706051873198847,-0.8013556022221568,6.84,A(优)
1001,单线,1006,113,0.06292035398230089,0.09,0.09,0.0,77.03539823008849,21,-1.5990435064359971,-1.0,-0.2622374100572925,-0.9353680538015227,0.6512968299711815,-0.6092022482972453,15.19,A(优)
1001,单线,1007,155,0.06529032258064517,0.09,0.09,0.0,81.09677419354838,30,-1.0086142212468876,-1.0,-0.2622374100572925,-0.8172821967637006,0.8933717579250721,-0.7301368328436518,10.38,A(优)
1001,单线,1008,169,0.06437869822485208,0.08,0.09,0.0,84.0414201183432,25,-1.2357268155352388,-1.9999999999999987,-0.2622374100572925,-1.4127047156213703,0.9740634005763689,-1.376063959308424,0.76,A(优)
1001,单线,1009,165,0.06521212121212121,0.09,0.09,0.0,85.05454545454545,23,-1.028096495463799,-1.0,-0.2622374100572925,-0.8211786516070829,0.9510086455331412,-0.7809479972055832,7.85,A(优)
1001,单线,1010,92,0.06554347826086956,0.09,0.09090000000000004,0.0,75.92391304347827,14,-0.945545652565903,-1.0,-0.2622374100572925,-0.8046684830275037,0.5302593659942363,-0.426682999645708,21.01,B(良)
1001,单线,1011,88,0.06340909090909091,0.08,0.09129999999999995,0.0,81.43181818181819,25,-1.4772846803773925,-1.9999999999999987,-0.2622374100572925,-1.461016288589801,0.5072046109510087,-0.7410341982472767,9.62,A(优)
