线号,行别,公里区间,样本量,max_acc均值,max_accP95,max_accP99,三级及以上占比,车速均值,覆盖天数,z_max_acc均值,z_max_accP95,z_三级及以上占比,原始风险分,样本权重,风险分,质量风险指数,质量等级
1001,单线,1051,542,0.08953874538745388,0.14,0.15590000000000032,0.012915129151291513,90.32472324723247,60,5.032385205829737,3.9999999999999973,4.567683716103803,4.348397970191897,1.0,4.348397970191897,100.0,E(很差)
4001,单线,4001,863,0.06257242178447277,0.12899999999999978,0.23,0.03592120509849363,112.51448435689456,90,1.0642710020391848,3.8999999999999804,12.022897847848547,5.363578662369964,0.6838351822503962,3.6678037920961004,99.75,E(很差)
1001,单线,1048,585,0.09370940170940172,0.13,0.15,0.005128205128205128,99.55213675213675,69,6.071419070100114,2.9999999999999973,1.6555774253854278,3.2781781703663784,1.0,3.2781781703663784,99.49,E(很差)
3001,上行,3040,3781,0.05982015339857181,0.1,0.18199999999999816,0.013224014810896589,61.59825443004496,100,2.6683252089259026,1.6745286456412265,6.821356541077567,3.159994932157247,1.0,3.159994932157247,99.24,E(很差)
4001,单线,4021,684,0.06305555555555556,0.14,0.19,0.033625730994152045,135.71052631578948,86,1.3252690097961488,5.000000000000004,11.150952127828484,5.802791833916354,0.5419968304278923,3.14509478161552,98.99,E(很差)
4001,单线,4022,849,0.06677267373380447,0.13,0.19519999999999982,0.01884570082449941,131.263839811543,91,3.333326606237508,4.000000000000003,5.53669404326928,4.250838832064823,0.6727416798732171,2.8597164567535933,98.73,E(很差)
1001,单线,1053,343,0.08104956268221575,0.12,0.16579999999999984,0.011661807580174927,81.61807580174927,58,2.917478670783155,1.9999999999999973,4.098974169083588,2.7082392764275265,1.0,2.7082392764275265,98.48,E(很差)
4001,单线,4023,1074,0.0626070763500931,0.12,0.1826999999999998,0.01675977653631285,136.50279329608938,94,1.082992054319012,3.0000000000000013,4.744346722979268,3.05268509160862,0.8510301109350238,2.597926932161377,98.23,E(很差)
1001,单线,1062,838,0.0889856801909308,0.13,0.14,0.0,95.26133651551312,64,4.894600304850783,2.9999999999999973,-0.2622374100572925,2.563360708455832,1.0,2.563360708455832,97.97,E(很差)
1001,单线,1078,164,0.07701219512195122,0.12,0.14,0.012195121951219513,71.51829268292683,32,1.9116509799360872,1.9999999999999973,4.2984198205686885,2.5569351511293883,0.9452449567723343,2.416930056398961,97.72,E(很差)
